profile_type	cluster_data	cluster_id	coefficient	pval	qval	signif_level	signif_fdr
speciation	combined	46	40.5300085445251	0	0	Yes & Top 5% Coef.	Yes
transfer	combined	2	-34.7368883727025	0	0	Yes & Top 5% Coef.	Yes
transfer	combined	28	-18.9112477484645	5.6399329650958e-14	3.49675843835939e-13	Yes	Yes
transfer	combined	58	-9.75043612418905	0.40891736727304	0.563397261576189	No	No
transfer	combined	18	-7.9808985412058	0.000210636957663879	0.000816218210947531	Yes	Yes
transfer	combined	8	-5.46430525576274	0.183492128756229	0.299381894286479	No	No
transfer	combined	51	-4.2537414430927	0.177796679101515	0.297929570386323	No	No
transfer	combined	62	-3.22097520869787	0.282434460310792	0.437773413481728	No	No
transfer	combined	68	-3.17238436712973	0.699703231489942	0.788756370043207	No	No
transfer	combined	32	-2.67351998025463	0.403509233579963	0.563397261576189	No	No
transfer	combined	31	-2.65876658627011	0.321148502747254	0.474076361198327	No	No
transfer	combined	36	-1.77015436666522	0.496707640267533	0.655231355246533	No	No
transfer	combined	12	-1.54035406586071	0.722447445766986	0.799852529242021	No	No
transfer	combined	50	-0.666621871049144	0.867006757038588	0.911091846379533	No	No
transfer	combined	25	-0.287951054754286	0.886800217650489	0.916360224905506	No	No
transfer	combined	6	-0.00680802684085902	0.997945126449218	0.997945126449218	No	No
transfer	combined	11	0.105505387361529	0.94013235207895	0.955544357850736	No	No
transfer	combined	19	0.277696369405792	0.856120704864822	0.911091846379533	No	No
transfer	combined	5	0.501866724317431	0.642198441914986	0.762029185076657	No	No
transfer	combined	23	0.993824539192714	0.666981604232043	0.765793693747901	No	No
transfer	combined	29	1.06547974216129	0.651412045307465	0.762029185076657	No	No
transfer	combined	37	1.31685514254567	0.623502397544764	0.757983306819125	No	No
transfer	combined	60	1.74499245945626	0.577853230209651	0.716538005459967	No	No
transfer	combined	65	1.78935362724229	0.515306077801436	0.659339265378905	No	No
transfer	combined	1	1.98395463595037	0.00842300044335254	0.0237375467039935	Yes	Yes
transfer	combined	55	2.04681152383402	0.736916571981732	0.801558376541533	No	No
transfer	combined	53	2.11380647162228	0.385931177008813	0.5564589063848	No	No
transfer	combined	30	2.59211872782537	0.521090709734941	0.659339265378905	No	No
transfer	combined	38	2.9121999826778	0.454904473939124	0.613132117048385	No	No
transfer	combined	63	3.51771794568559	0.314535524057402	0.474076361198327	No	No
transfer	combined	3	4.22207392566442	0.0522327721276454	0.101200995997313	No	No
transfer	combined	35	4.62274372611489	0.168645291492255	0.290444668681106	No	No
transfer	combined	14	4.77035394758729	0.0134360506141959	0.0343419213205455	Yes	Yes
transfer	combined	57	4.78340488296608	0.248423814317809	0.394930166351389	No	No
transfer	combined	13	4.92792069461921	0.0112251415396997	0.030259077193973	Yes	Yes
transfer	combined	39	5.28681579782542	0.0972586449622259	0.177353999637	No	No
transfer	combined	15	5.75567365430702	0.0463099689952809	0.095707269256914	Yes	No
transfer	combined	48	5.87754734797525	0.00772246844174185	0.0227996687327616	Yes	Yes
transfer	combined	66	5.97371244743372	0.158279229417957	0.280380349254667	No	No
transfer	combined	4	6.56754362418372	0.00144090268637254	0.00470189297658406	Yes	Yes
transfer	combined	22	6.79446979747395	0.000299003510731866	0.00104549713138674	Yes	Yes
transfer	combined	41	6.82978204890944	0.00030353142524131	0.00104549713138674	Yes	Yes
transfer	combined	47	7.35120234668597	0.0144014508763578	0.0343419213205455	Yes	Yes
transfer	combined	54	7.7897793671911	0.0430952370158856	0.0921346446546519	Yes	No
transfer	combined	34	7.84333811243654	0.0512957232012573	0.101200995997313	No	No
transfer	combined	7	7.98025091714908	0.000130126719432355	0.000537857106987068	Yes	Yes
transfer	combined	24	8.90729381588494	0.0247621666472632	0.0555353489218649	Yes	No
transfer	combined	52	8.90970001964299	0.0250804801582616	0.0555353489218649	Yes	No
transfer	combined	42	9.15426784821259	0.0569239091895566	0.106947950598561	No	No
transfer	combined	45	9.65922385002778	0.003233829256996	0.0100248706966876	Yes	Yes
transfer	combined	16	9.7972992304015	0	0	Yes	Yes
transfer	combined	9	12.6123117130737	0	0	Yes	Yes
transfer	combined	44	15.6643295365568	3.45131235515161e-05	0.000164601050784154	Yes	Yes
transfer	combined	20	16.26692052001	0	0	Yes	Yes
transfer	combined	59	18.8182155829646	0.0140571677948751	0.0343419213205455	Yes	Yes
transfer	combined	49	19.9131721770456	6.10232619990825e-09	3.43949294903919e-08	Yes	Yes
transfer	combined	33	21.8507155014441	0.000121436505616579	0.000537790239159135	Yes	Yes
transfer	combined	10	23.7456073626456	0	0	Yes	Yes
transfer	combined	61	24.7512392104197	1.05539397001753e-05	5.45286884509055e-05	Yes	Yes
transfer	combined	43	29.7700437262182	0	0	Yes	Yes
transfer	combined	46	30.1922141413152	0	0	Yes & Top 10% Coef.	Yes
transfer	combined	40	43.7366896003788	0	0	Yes & Top 5% Coef.	Yes
transfer	combined	27	43.9043311414806	0	0	Yes & Top 5% Coef.	Yes
loss	combined	32	-10.0150389952577	2.18221885006642e-08	8.45609804400738e-08	Yes & Top 5% Coef.	Yes
loss	combined	55	-2.5111274317606	0.429510134886954	0.49826247983895	No	No
loss	combined	31	-1.37719653386786	0.321146399164442	0.390413269572459	No	No
loss	combined	29	-1.0464512291629	0.360586434997539	0.429929980189373	No	No
loss	combined	23	-0.111656543245192	0.913239764796541	0.913239764796541	No	No
loss	combined	36	0.506831532384752	0.745567548237204	0.770419799845111	No	No
loss	combined	51	0.552071654246399	0.688874754392912	0.736383358144147	No	No
loss	combined	12	0.863085777571557	0.717363094431854	0.753839183979236	No	No
loss	combined	1	0.877345201710396	0.0189761549101813	0.0301672206264421	Yes	Yes
loss	combined	35	1.00458797759253	0.594261124064226	0.646389292841789	No	No
loss	combined	60	1.39927152068145	0.594260403988548	0.646389292841789	No	No
loss	combined	50	1.47183452984118	0.433970546956505	0.49826247983895	No	No
loss	combined	68	1.55976876868835	0.788552616490604	0.801479708564221	No	No
loss	combined	24	2.1139378722723	0.224677293638487	0.290208170949712	No	No
loss	combined	8	2.11948401204432	0.255586300207361	0.323394910466457	No	No
loss	combined	30	2.19908087222546	0.16034304197443	0.211516353242866	No	No
loss	combined	37	2.31655275881075	0.0913080952253935	0.125802264532764	No	No
loss	combined	6	2.37828851334493	0.111657149143256	0.150494418410475	No	No
loss	combined	19	2.3851244468304	0.00172364863794272	0.00368504191560168	Yes	Yes
loss	combined	18	2.56788910503066	0.0472625555320716	0.0681460103020567	Yes	No
loss	combined	53	2.9529016173012	0.0385783984725825	0.0583380659829296	Yes	No
loss	combined	11	2.96740835405625	0.000486528735667457	0.00116018390813009	Yes	Yes
loss	combined	4	3.12741907101228	0.008374234815134	0.0140325015821164	Yes	Yes
loss	combined	62	3.29018467024921	0.0342538902740055	0.0530935299247085	Yes	No
loss	combined	34	3.29573431742764	0.084667835672211	0.119304677538116	No	No
loss	combined	13	3.47789084244885	0.0056143786029158	0.00994547066802228	Yes	Yes
loss	combined	59	3.47993739150552	0.281860963385344	0.349507594597827	No	No
loss	combined	5	3.80944428057713	1.64363138988044e-07	5.99442036309337e-07	Yes	Yes
loss	combined	28	4.05109118762455	0.00456169886185065	0.00883829154483563	Yes	Yes
loss	combined	42	4.50472882942366	0.03972983483944	0.058648803810602	Yes	No
loss	combined	41	4.73653402916877	1.83692586808171e-07	6.32718910117032e-07	Yes	Yes
loss	combined	25	4.74610013276114	0.000701459941637728	0.00161075986598293	Yes	Yes
loss	combined	63	4.86065214117236	0.00936507305221612	0.0152798560325631	Yes	Yes
loss	combined	48	4.97030545299529	0.000256036953239835	0.000661428795869575	Yes	Yes
loss	combined	2	5.11585810987706	0.00497007244889514	0.00906307328916172	Yes	Yes
loss	combined	3	5.16754702888313	1.56776947152215e-05	4.41825941974424e-05	Yes	Yes
loss	combined	65	5.21153705837674	0.00226947460680704	0.00469024752073456	Yes	Yes
loss	combined	14	5.45310049119832	4.16478362352812e-06	1.29108292329372e-05	Yes	Yes
loss	combined	58	5.84666961346958	0.54325211198434	0.612393289873256	No	No
loss	combined	22	6.28907983930188	8.41882119573256e-13	4.34972428446182e-12	Yes	Yes
loss	combined	15	6.4148925203471	5.5109650787255e-07	1.79831492042622e-06	Yes	Yes
loss	combined	16	6.51721341482094	0	0	Yes	Yes
loss	combined	47	6.63941605849341	0.00263663419944293	0.00527326839888587	Yes	Yes
loss	combined	57	6.64468531147212	0.00738664387068066	0.0127214422217278	Yes	Yes
loss	combined	52	6.67533316584027	0.00490119395475286	0.00906307328916172	Yes	Yes
loss	combined	66	7.1265440057299	0.00152841079495802	0.00338433818883562	Yes	Yes
loss	combined	7	7.51159007072855	1.49576062166146e-05	4.41605516871478e-05	Yes	Yes
loss	combined	38	9.48171065995039	0.000128498732908433	0.000346387888709689	Yes	Yes
loss	combined	39	9.95977848367197	2.78030776179605e-09	1.1491938748757e-08	Yes	Yes
loss	combined	61	12.372567894739	0.000482341984663681	0.00116018390813009	Yes	Yes
loss	combined	54	12.778508114122	1.15509823928051e-11	5.11543505967081e-11	Yes	Yes
loss	combined	9	14.9400077895366	0	0	Yes	Yes
loss	combined	20	16.441360806492	0	0	Yes	Yes
loss	combined	49	17.7459270039809	0	0	Yes	Yes
loss	combined	44	18.7543264809428	6.87438994617651e-12	3.27855520509956e-11	Yes	Yes
loss	combined	10	18.8887044950339	0	0	Yes	Yes
loss	combined	43	19.9713433101791	0	0	Yes	Yes
loss	combined	45	20.7335199890401	1.77635683940025e-15	1.00121930948014e-14	Yes & Top 10% Coef.	Yes
loss	combined	33	22.4343612070425	0	0	Yes & Top 10% Coef.	Yes
loss	combined	27	30.4313424620071	0	0	Yes & Top 5% Coef.	Yes
loss	combined	46	37.1866179061023	0	0	Yes & Top 5% Coef.	Yes
loss	combined	40	39.7779612714939	0	0	Yes & Top 5% Coef.	Yes
