Orthogroup	1	2	3	4	5	6	7	8	9	10
OG0000039	GO:0004867; GO:0010466; GO:0044562 (489)	GO:0004867; GO:0005576; GO:0010466; GO:0030198; GO:0044562; GO:0090729 (34)	GO:0004867; GO:0005581; GO:0010466; GO:0044562 (21)	GO:0004867; GO:0005576; GO:0008270; GO:0010466; GO:0044562; GO:0070461; GO:0090729 (19)	GO:0004867; GO:0005576; GO:0010466; GO:0044562; GO:0090729 (5)	GO:0004867; GO:0005615; GO:0010466; GO:0044562 (3)	GO:0004867; GO:0005576; GO:0010466; GO:0016020; GO:0030198; GO:0044562; GO:0090729 (1)			
OG0000040	GO:0004222; GO:0006508; GO:0046872 (470)	GO:0004222; GO:0006509; GO:0046872 (91)	GO:0004222; GO:0006508; GO:0016020; GO:0046872 (6)	GO:0004222; GO:0006508; GO:0007229; GO:0016020; GO:0046872 (2)						
OG0000041	GO:0004312; GO:0004313; GO:0004315; GO:0004316; GO:0004320; GO:0006633; GO:0008659; GO:0016295; GO:0016296; GO:0019171; GO:0031177; GO:0047117 (212)	GO:0004315; GO:0006633 (128)	GO:0016746 (107)	GO:0016491 (41)	GO:0006633; GO:0016491; GO:0016740 (25)	GO:0004315; GO:0006633; GO:0016491; GO:0031177 (22)	GO:0004320; GO:0006633; GO:0016295; GO:0016296; GO:0016491; GO:0031177 (5)	GO:0016020 (5)	GO:0004320; GO:0006633; GO:0016295; GO:0016296; GO:0016746 (3)	GO:0004312; GO:0004313; GO:0004315; GO:0004316; GO:0004320; GO:0006633; GO:0008659; GO:0016295; GO:0016296; GO:0019171; GO:0047117 (3)
OG0000042	GO:0004252; GO:1902936 (479)	GO:1902936 (60)								
OG0000043	GO:0006629; GO:0016788 (328)	GO:0006629; GO:0016020; GO:0016788 (97)	GO:0006629 (42)	GO:0016042; GO:0016788 (40)	GO:0006629; GO:0016020 (23)	GO:0016020; GO:0016787 (4)				
OG0000044	GO:0016491 (472)	GO:0016020 (46)								
OG0000045	GO:0000981; GO:0003677; GO:0005634 (371)	GO:0003677; GO:0005634 (57)	GO:0003677; GO:0005634; GO:0007601; GO:0050896 (28)	GO:0000981; GO:0003677; GO:0005634; GO:0045944 (20)	GO:0000977; GO:0000981; GO:0004000; GO:0005634; GO:0006357; GO:0046936 (12)	GO:0000981; GO:0004000; GO:0005634; GO:0006357; GO:0046936; GO:1990837 (9)	GO:0000978; GO:0000981; GO:0004000; GO:0005634; GO:0006357; GO:0045944; GO:0046936 (7)	GO:0000977; GO:0000981; GO:0005634; GO:0006357 (4)	GO:0000981; GO:0003677; GO:0005634; GO:0016020 (4)	GO:0000981; GO:0003677; GO:0005634; GO:0007601; GO:0050896 (2)
OG0000046	GO:0004674; GO:0005524; GO:0006468 (156)	GO:0004674; GO:0004698; GO:0005524; GO:0018105; GO:0035556 (68)	GO:0004698; GO:0016310 (63)	GO:0004674; GO:0004698; GO:0005524; GO:0018105; GO:0035091; GO:0035556 (45)	GO:0004698; GO:0005524; GO:0006468; GO:0008270 (36)	GO:0004674; GO:0004698; GO:0005524; GO:0008270; GO:0018105; GO:0035556 (19)	GO:0004674; GO:0006468; GO:0007165; GO:0031267 (18)	GO:0004674; GO:0004698; GO:0005524; GO:0005634; GO:0018105; GO:0031267; GO:0035556 (17)	GO:0004674; GO:0004698; GO:0005524; GO:0007163; GO:0018105; GO:0035556; GO:0110165 (14)	GO:0004698; GO:0005524; GO:0006468 (10)
OG0000047	GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037 (247)	GO:0004497; GO:0005506; GO:0016705; GO:0020037 (128)	GO:0005506; GO:0016020; GO:0020037; GO:0070330 (87)	GO:0005506; GO:0005789; GO:0020037; GO:0070330 (13)	GO:0004497; GO:0004796; GO:0005506; GO:0016020; GO:0016705; GO:0020037 (8)	GO:0005506; GO:0020037; GO:0070330 (7)	GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (7)	GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037; GO:1901702 (5)	GO:0004497; GO:0004796; GO:0005506; GO:0016705; GO:0020037 (2)	
OG0000048	GO:0004601; GO:0006979; GO:0020037; GO:0046872 (293)	GO:0004601; GO:0006979; GO:0020037; GO:0046872; GO:0140825 (167)	GO:0004601; GO:0006979; GO:0016020; GO:0020037; GO:0046872 (22)	GO:0004601; GO:0006979; GO:0020037 (13)	GO:0004435; GO:0004601; GO:0006629; GO:0006979; GO:0020037; GO:0035556; GO:0046872 (6)					
OG0000049	GO:0016020 (399)	GO:0016020; GO:0016630 (98)								
